,ab_id,px,pz,code,pitch_type,b_count,s_count,zones,swing,result
101133,2017143104,-0.549220490337115,3.327068961210069,B,FF,0.0,2.0,0,0,Ball
101134,2017143104,0.16696322308209302,2.3515996126636,E,FS,1.0,2.0,4,1,Hit
101163,2017143130,-0.0880077148820329,1.73497984124432,X,SI,0.0,0.0,7,1,Out
103000,2017154510,1.01788956435645,3.33105203960074,B,SI,0.0,0.0,13,0,Ball
103001,2017154510,0.20833312585808805,3.3360850064447702,C,SI,1.0,0.0,1,0,Ball
103002,2017154510,0.299494726007304,2.50265118442104,X,CU,1.0,1.0,5,1,Out
103018,2017154529,1.3901912222318,1.6507264679273,B,FC,0.0,0.0,13,0,Ball
103019,2017154529,0.8972690871109681,2.0283481542173702,B,SI,1.0,0.0,13,0,Ball
103020,2017154529,0.197986715501095,2.3078852329814703,F,FF,2.0,0.0,4,1,Foul
103021,2017154529,0.47647566158332,1.9448291656496497,C,CU,2.0,1.0,8,0,Ball
103022,2017154529,0.6483621700312601,1.95536950102062,X,CU,2.0,2.0,8,1,Out
103036,2017154550,1.0604386532498802,1.9917949754085704,B,SI,0.0,0.0,13,0,Ball
103037,2017154550,0.792877496901936,2.10812847104436,X,FC,1.0,0.0,8,1,Out
103055,2017154566,0.545783613305312,1.71947151318562,S,FC,0.0,0.0,8,1,Strike
103056,2017154566,0.406179524813725,3.63892432021995,B,SI,0.0,1.0,2,0,Ball
103057,2017154566,0.429872110380524,0.544565104372092,B,SI,1.0,1.0,15,0,Ball
103058,2017154566,0.400446823668617,1.9899300949829,X,FC,2.0,1.0,8,1,Out
104725,2017165240,0.491688574053751,2.57986058976051,C,SI,0.0,0.0,5,0,Ball
104726,2017165240,0.466051971293682,2.3622675910884303,D,SI,0.0,1.0,5,1,Hit
104743,2017165259,0.92393195186672,1.32963438770636,B,FC,0.0,0.0,16,0,Ball
104744,2017165259,-0.284709706925155,2.6099796413912,C,CU,1.0,0.0,3,0,Ball
104745,2017165259,1.73910607313452,1.1155821278233702,B,FC,1.0,1.0,16,0,Ball
104746,2017165259,0.314691091849626,2.07438371895384,C,CU,2.0,1.0,8,0,Ball
104747,2017165259,0.7494532023288258,0.775606544713651,W,CU,2.0,2.0,15,1,Strike
104759,2017165280,0.38704077402702897,3.0506193392420298,C,SI,0.0,0.0,2,0,Ball
104760,2017165280,0.667473471377812,1.1299669209544,X,FC,0.0,1.0,15,1,Out
104770,2017165303,0.6355408266666209,1.43312427412312,X,FC,0.0,0.0,15,1,Out
112122,2018017914,0.454341011,3.306981937,B,FF,0.0,0.0,2,0,Ball
112123,2018017914,-0.270967912,1.975197753,S,FC,1.0,0.0,7,1,Strike
112124,2018017914,-0.154689745,1.635930631,X,FC,1.0,1.0,7,1,Out
112156,2018017938,-0.4331527,2.667465031,X,FC,0.0,0.0,3,1,Out
112183,2018017957,-0.575331041,2.358579595,C,FT,0.0,0.0,3,0,Ball
112184,2018017957,-0.321103729,2.08205341,X,FC,0.0,1.0,6,1,Out
113272,2018024061,0.844668461033011,1.91991897205124,C,FF,0.0,0.0,13,0,Ball
113273,2018024061,1.01096334545828,0.257800130097383,B,SL,0.0,1.0,16,0,Ball
113274,2018024061,-0.1231007196908,0.987944263910118,B,FT,1.0,1.0,15,0,Ball
113275,2018024061,-0.511297212730179,2.4706027609077204,C,SL,2.0,1.0,3,0,Ball
113276,2018024061,1.05891290491972,3.01329970292779,X,FF,2.0,2.0,13,1,Out
113297,2018024079,0.242433840153999,0.922607593643042,B,SL,0.0,0.0,15,0,Ball
113298,2018024079,1.01383924073822,1.63211206508539,B,FF,1.0,0.0,13,0,Ball
113299,2018024079,0.451926798040022,2.2620098807990097,X,SL,2.0,0.0,5,1,Out
113320,2018024101,-0.205549894439422,1.81445079009229,C,CU,0.0,0.0,7,0,Ball
113321,2018024101,0.813803441725884,0.8505017884349672,B,SL,0.0,1.0,15,0,Ball
113322,2018024101,-1.2670170446406002,2.14419055871037,B,FT,1.0,1.0,12,0,Ball
113323,2018024101,1.5731629608127702,2.33803056482054,B,FF,2.0,1.0,13,0,Ball
113324,2018024101,0.565598951492679,2.0905303621599,D,SL,3.0,1.0,8,1,Hit
113333,2018024275,0.556070347214402,1.47580102755279,B,FF,0.0,0.0,15,0,Ball
113334,2018024275,0.0597815624778059,3.1939206546201,F,FF,1.0,0.0,1,1,Foul
113335,2018024275,0.3806004008242601,3.22946189284958,C,FF,1.0,1.0,2,0,Ball
113336,2018024275,1.5619539774271298,1.32279827918625,B,SL,1.0,2.0,16,0,Ball
113337,2018024275,0.376521543760265,2.718890428862009,F,FF,2.0,2.0,5,1,Foul
113338,2018024275,-0.175544686910824,2.7720611173393195,F,SL,2.0,2.0,4,1,Foul
113339,2018024275,1.25665879192267,2.1540280360486,X,SL,2.0,2.0,13,1,Out
113362,2018024296,-0.195136587842302,2.02074077042044,X,FF,0.0,0.0,7,1,Out
113390,2018024312,-0.2462474177947,3.06385429367242,F,FF,0.0,0.0,1,1,Foul
113391,2018024312,2.7057014901035803,-0.731431101619126,B,SL,0.0,1.0,16,0,Ball
113392,2018024312,-0.247219046922421,3.4194662147839,S,FF,1.0,1.0,1,1,Strike
113393,2018024312,-0.6690558654904821,1.9908464681700104,C,FF,1.0,2.0,6,0,Ball
113550,2018025962,-1.2254506625743,3.8280890274766497,F,FF,0.0,0.0,9,1,Foul
113551,2018025962,0.33503686173930897,2.27693326631231,C,FF,0.0,1.0,5,0,Ball
113552,2018025962,-0.274846612801207,3.2720690679257403,X,FF,0.0,2.0,1,1,Out
113574,2018025980,0.781811494274295,0.997131910646324,B,FF,0.0,0.0,15,0,Ball
113575,2018025980,0.3107170793373289,2.68577357782158,X,FF,1.0,0.0,5,1,Out
113598,2018025999,0.988945401896872,2.14088925077913,C,FF,0.0,0.0,13,0,Ball
